COOP NUMBER, LOAN COLLECTED ,DATE COLLECTED,GUARANTOR 1 COOP NUMBER,GUARANTOR 2 COOP NUMBER,GUARANTOR 3 COOP NUMBER,GUARANTOR 4 COOP NUMBER,STATUS
562,300000,01/01/2022,562,-,-,-,0
549,90000,01/01/2022,1639,1392,1725,-,0
1689,300000,01/01/2022,1982,384,2055,1021,1
1360,400000,01/01/2022,357,1820,-,-,0
119,1000000,01/01/2022,1083,362,-,-,1
418,800000,01/01/2022,810,1299,180,701,1
1160,1000000,01/01/2022,1389,393,-,-,1
431,1200000,01/01/2022,028,855,-,-,1
1816,1000000,01/01/2022,840,-,-,-,1
535,100000,01/01/2022,396,1648,-,-,1
1181,500000,01/01/2022,826,1365,1812,192,1
161,500000,01/01/2022,165,2055,1617,1616,1
1158,1000000,01/01/2022,1756,-,-,-,0
1335,50000,01/01/2022,14,-,-,-,1
1417,240000,01/01/2022,1877,-,-,-,0
1694,3000000,01/01/2022,1401,-,-,-,1
682,450000,01/01/2022,1402,1709,1238,-,0
1808,290000,01/01/2022,1701,445,1814,1700,1
197,145000,01/02/2022,1847,1857,-,-,1
1004,230000,01/02/2022,1616,1256,910,-,0
1697,1000000,01/02/2022,531,342,381,-,0
674,500000,01/02/2022,1887,1008,-,-,0
1420,140000,01/02/2022,142,-,-,-,1
897,750000,01/02/2022,747,750,579,-,0
734,100000,01/02/2022,25,-,-,-,0
290,3000000,01/02/2022,290,-,-,-,0
1728,400000,01/02/2022,692,-,-,-,0
1849,1000000,01/02/2022,1795,-,-,-,0
949,490000,01/02/2022,181,182,1613,-,0
1698,200000,01/02/2022,1241,1970,1026,-,0
1862,290000,01/02/2022,1862,-,-,-,1
1510,360000,01/02/2022,1749,1584,-,-,1
784,600000,01/02/2022,1470,012,-,-,0
1609,275000,01/02/2022,1668,1069,-,-,1
1421,55000,01/02/2022,1421,-,-,-,0
128,350000,01/02/2022,839,-,-,-,0
1339,200000,01/02/2022,1144,2032,2004,-,1
1196,80000,01/02/2022,1764,1000,-,-,0
904,800000,01/02/2022,1153,-,-,-,0
340,2000000,01/02/2022,21,017,146,-,0
1133,1150000,01/02/2022,724,796,-,-,0
99,200000,01/02/2022,121,-,-,-,0
1619,350000,01/02/2022,327,-,-,-,0
338,400000,01/02/2022,1617,165,-,-,0
62,300000,01/02/2022,404,574,1658,-,1
1548,80000,01/02/2022,1070,-,-,-,1
742,250000,01/02/2022,79,173,037,-,1
72,150000,01/02/2022,72,-,-,-,0
1011,250000,01/02/2022,556,-,-,-,1
153,220000,01/02/2022,28,-,-,-,1
1228,200000,01/02/2022,1113,558,-,-,0
1743,15000,01/02/2022,1743,-,-,-,1
1812,250000,01/02/2022,883,-,-,-,1
312,1100000,01/03/2022,1322,1276,142,-,1
1791,650000,01/03/2022,581,1667,1797,-,1
1384,100000,01/03/2022,1938,1762,-,-,1
1589,160000,01/03/2022,1571,-,-,-,1
1440,600000,01/03/2022,1571,329,1434,-,0
837,350000,01/03/2022,1080,848,-,-,0
630,300000,01/03/2022,483,-,-,-,1
1865,350000,01/03/2022,1470,-,-,-,1
562,900000,01/03/2022,562,-,-,-,0
63,360000,01/03/2022,853,069,-,-,1
38,1000000,01/03/2022,18,1289,519,-,0
568,50000,01/03/2022,568,-,-,-,0
372,200000,01/03/2022,1144,135,2004,-,1
911,1000000,01/03/2022,614,-,-,-,1
810,570000,01/03/2022,1270,1909,382,-,1
22,2000000,01/03/2022,746,1627,162,-,1
869,500000,01/03/2022,12,-,-,-,0
655,150000,01/03/2022,1136,-,-,-,1
154,7000000,01/03/2022,156,025,483,017,0
1793,140000,01/03/2022,1513,-,-,-,1
1926,1200000,01/03/2022,524,1303,-,-,1
1810,350000,01/03/2022,1810,-,-,-,0
250,700000,01/03/2022,250,-,-,-,0
1506,250000,01/03/2022,268,-,-,-,1
325,1350000,01/03/2022,1351,324,1025,574,1
741,1000000,01/03/2022,416,276,-,-,1
1751,1250000,01/03/2022,653,384,-,-,0
1428,1500000,01/03/2022,459,1229,-,-,1
737,200000,01/03/2022,737,-,-,-,0
1989,30000,01/03/2022,1989,-,-,-,0
1131,230000,01/03/2022,1131,-,-,-,1
1508,800000,01/03/2022,1688,1507,-,-,1
1907,250000,01/03/2022,1907,-,-,-,0
364,4000000,01/03/2022,1459,1504,1026,174,1
1831,27000,01/03/2022,1831,-,-,-,1
928,700000,01/03/2022,100,-,-,-,0
438,1400000,01/03/2022,439,020,021,1007,0
1074,400000,01/03/2022,1333,-,-,-,0
1885,100000,01/03/2022,1840,-,-,-,0
2029,70000,01/03/2022,2029,-,-,-,1
1813,200000,01/03/2022,1893,-,-,-,0
153,200000,01/03/2022,153,-,-,-,1
397,60000,01/04/2022,397,-,-,-,1
130,150000,01/04/2022,130,-,-,-,1
422,200000,01/04/2022,130,-,-,-, 0
1144,500000,01/04/2022,2004,1459,868,192,1
1628,400000,01/04/2022,166,1719,684,-,0
782,325000,01/04/2022,1053,021,-,-,1
1883,200000,01/04/2022,384,873,-,-,1
1940,380000,01/04/2022,1705,1096,1245,-,0
545,330000,01/04/2022,506,1374,-,-,0
1937,180000,01/04/2022,613,2096,-,-,0
281,200000,01/04/2022,281,-,-,-,1
1909,180000,01/04/2022,1503,1803,-,-,1
1814,100000,01/04/2022,90,1400,-,-,1
1194,1200000,01/04/2022,1026,1043,2004,-,0
1057,550000,01/04/2022,390,845,1669,497,1
593,1250000,01/04/2022,1669,926,826,1982,0
1891,2000000,01/04/2022,1962,-,-,-,0
122,500000,01/04/2022,581,1797,726,-,1
293,600000,01/04/2022,293,-,-,-,0
1889,100000,01/04/2022,495,910,-,-,1
1362,10000000,01/04/2022,1362,-,-,-,0
260,300000,01/04/2022,260,-,-,-,0
1902,180000,01/04/2022,159,-,-,-,0
536,490000,01/04/2022,585,107,1124,-,0
1331,500000,01/04/2022,914,817,-,-,1
1299,200000,01/04/2022,701,1413,-,-,1
1598,250000,01/04/2022,826,1382,384,-,1
1192,1200000,01/04/2022,497,1577,1032,-,0
109,2000000,01/04/2022,260,112,-,-,0
564,90000,01/04/2022,564,-,-,-,1
1365,400000,01/04/2022,290,-,-,-,1
758,1500000,01/04/2022,482,617,025,146,1
1272,200000,01/04/2022,193,194,-,-,0
1210,1400000,01/04/2022,1236,337,750,-,1
080,2400000,01/04/2022,688,017,025,-,1
957,40000,01/04/2022,72,-,-,-,1
429,100000,01/04/2022,429,-,-,-,0
1624,100000,01/04/2022,1624,-,-,-,0
1336,2000000,01/04/2022,017,-,-,-,1
1379,300000,01/04/2022,146,-,-,-,1
72,1000000,01/04/2022,72,-,-,-,0
1879,150000,01/04/2022,1879,-,-,-,0
9,1000000,01/04/2022,9,-,-,-,1
1538,130000,01/05/2022,1538,-,-,-,1
1896,90000,01/05/2022,1896,-,-,-,0
927,1000000,01/05/2022,614,253,-,-,0
1639,220000,01/05/2022,1847,-,-,-,1
1403,250000,01/05/2022,1404,735,-,-,0
870,800000,01/05/2022,855,-,-,-,0
1447,250000,01/05/2022,131,-,-,-,0
277,2500000,01/05/2022,276,-,-,-,0
219,320000,01/05/2022,476,2037,981,-,1
542,300000,01/05/2022,819,1243,1328,-,0
1842,400000,01/05/2022,1842,-,-,-,1
1740,125000,01/05/2022,749,-,-,-,1
230,1000000,01/05/2022,068,995,012,-,0
1504,830000,01/05/2022,1989,910,-,-,1
150,60000,01/05/2022,150,-,-,-,1
1931,1000000,01/05/2022,1932,1952,1805,-,1
1047,250000,01/05/2022,482,-,-,-,1
1317,200000,01/05/2022,1317,-,-,-,1
746,1500000,01/05/2022,692,1087,-,-,0
1417,480000,01/05/2022,1877,1088,-,-,1
1997,550000,01/05/2022,1627,-,-,-,0
419,1800000,01/05/2022,901,012,-,-,1
1989,80000,01/05/2022,1989,-,-,-,0
624,1000000,01/05/2022,624,-,-,-,1
034,250000,01/05/2022,33,-,-,-,0
1664,170000,01/05/2022,361,-,-,-,1
450,1150000,01/05/2022,295,-,-,-,1
1241,300000,01/05/2022,1633,-,-,-,0
558,50000,01/05/2022,558,-,-,-,1
526,400000,01/05/2022,526,-,-,-,0
229,1000000,01/05/2022,898,1389,258,-,1
1401,12500000,01/05/2022,1694,889,017,-,1
1404,50000,01/05/2022,040,-,-,-,1
069,50000,01/05/2022,069,-,-,-,0
169,100000,01/05/2022,169,-,-,-,1
1662,130000,01/05/2022,1040,1184,-,-,1
1707,150000,01/06/2022,1707,-,-,-,0
1690,400000,01/06/2022,483,1880,-,-,1
563,500000,01/06/2022,1032,1958,-,-,0
2117,3000000,01/06/2022,2058,1100,1385,819,0
191,4000000,01/06/2022,750,-,-,-,0
1203,110000,01/06/2022,1203,-,-,-,1
1053,200000,01/06/2022,021,1748,-,-,1
408,180000,01/06/2022,1088,-,-,-,1
344,2500000,01/06/2022,1040,396,1879,1989,1
195,250000,01/06/2022,195,-,-,-,0
076,600000,01/06/2022,028,855,-,-,0
790,160000,01/06/2022,1125,571,1953,-,0
361,250000,01/06/2022,361,-,-,-,1
1048,380000,01/06/2022,1319,1033,-,-,0
1225,230000,01/06/2022,1059,1649,-,-,1
1107,200000,01/06/2022,2082,598,-,-,1
1425,800000,01/06/2022,192,506,845,-,0
848,300000,01/06/2022,1738,143,-,-,1
363,200000,01/06/2022,1304,-,-,-,0
581,1200000,01/06/2022,028,1667,1536,-,1
231,2000000,01/06/2022,078,037,1688,1088,0
617,300000,01/06/2022,747,916,482,-,0
1796,60000,01/06/2022,1820,-,-,-,0
174,2000000,01/06/2022,509,1633,740,142,1
1347,220000,01/06/2022,1795,-,-,-,1
1961,200000,01/06/2022,1470,-,-,-,1
696,500000,01/06/2022,003,-,-,-,0
1507,210000,01/06/2022,1507,-,-,-,0
381,280000,01/06/2022,1732,-,-,-,0
460,1000000,01/06/2022,962,327,1956,143,1
073,200000,01/06/2022,383,655,-,-,0
1859,200000,01/06/2022,012,-,-,-,0
258,150000,01/06/2022,258,-,-,-,0
1592,5700000,01/06/2022,1592,-,-,-,0
1594,1700000,01/06/2022,1594,-,-,-,0
1148,2000000,01/06/2022,1148,-,-,-,0
253,1000000,01/06/2022,017,-,-,-,0
026,350000,01/06/2022,026,-,-,-,0
214,1500000,01/07/2022,415,2073,2075,2108,0
1374,100000,01/07/2022,1696,384,-,-,0
537,200000,01/07/2022,1191,-,-,-,0
946,90000,01/07/2022,946,-,-,-,1
1503,140000,01/07/2022,1869,321,-,-,0
2036,450000,01/07/2022,515,165,1161,-,0
731,125000,01/07/2022,823,1746,1730,-,1
1535,800000,01/07/2022,415,2076,1267,1810,0
809,1500000,01/07/2022,072,-,-,-,1
1189,400000,01/07/2022,1748,1633,1350,1991,1
1989,300000,01/07/2022,910,-,-,-,1
1935,560000,01/07/2022,1761,1684,1754,661,0
561,70000,01/07/2022,561,-,-,-,1
873,400000,01/07/2022,384,653,1077,-,0
1010,70000,01/07/2022,182,090,-,-,0
093,300000,01/07/2022,342,-,-,-,0
457,138000,01/07/2022,1300,482,-,-,0
194,200000,01/07/2022,874,193,1272,1894,0
1385,70000,01/07/2022,1385,-,-,-,1
1571,230000,01/07/2022,028,-,-,-,0
812,400000,01/07/2022,509,849,855,1490,0
305,1600000,01/07/2022,305,-,-,-,1
1445,400000,01/07/2022,1445,-,-,-,0
1932,1030000,01/07/2022,1932,-,-,-,0
1681,600000,01/07/2022,769,1243,-,-,1